Name,Score,Genres,English name,Type,Month Aired,Season,Episodes,Duracion,Rating,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Cowboy Bebop,8.78,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",Cowboy Bebop,TV,Apr,Spring,26,24,R,39,1251960,61971,105808,718161,71513,26678
Cowboy Bebop: Tengoku no Tobira,8.39,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Cowboy Bebop:The Movie,Movie,Sep,Fall,1,115,R,518,273145,1174,4143,208333,1935,770
Trigun,8.24,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",Trigun,TV,Apr,Spring,26,24,PG,201,558913,12944,29113,343492,25465,13925
Witch Hunter Robin,7.27,"['Action', 'Mystery', 'Police', 'Supernatural', 'Drama', 'Magic']",Witch Hunter Robin,TV,Jul,Summer,26,25,PG,1467,94683,587,4300,46165,5121,5378
Bouken Ou Beet,6.98,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",Beet the Vandel Buster,TV,Sep,Fall,52,23,PG,4369,13224,18,642,7314,766,1108
Eyeshield 21,7.95,"['Action', 'Sports', 'Comedy', 'Shounen']",Eyeshield 21,TV,Apr,Spring,145,23,PG,1003,148259,2066,13907,78349,14228,11573
Hachimitsu to Clover,8.06,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",Honey and Clover,TV,Apr,Spring,24,23,PG,687,214499,4101,11909,81145,11901,11026
Hungry Heart: Wild Striker,7.59,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",Hungry Heart: Wild Striker,TV,Sep,Fall,52,23,PG,3612,20470,231,817,13778,828,1168
Initial D Fourth Stage,8.15,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",Initial D Fourth Stage,TV,Apr,Spring,24,27,PG,1233,117929,979,6082,90967,3053,1356
Monster,8.76,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",Monster,TV,Apr,Spring,74,24,R,169,614100,29436,64648,214491,47488,23008
Naruto,7.91,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",Naruto,TV,Oct,Fall,220,23,PG,8,1830540,65586,137167,1462223,61734,99806
One Piece,8.52,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",One Piece,TV,Oct,Fall,Other,24,PG,31,1352724,126645,887333,33,187919,136245
Tennis no Ouji-sama,7.9,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",The Prince of Tennis,TV,Oct,Fall,178,22,PG,1039,141832,3124,11235,76881,12905,12516
Ring ni Kakero 1,6.38,"['Action', 'Shounen', 'Sports']",Ring ni Kakero 1,TV,Oct,Fall,12,25,PG,7333,3648,16,170,1333,145,296
School Rumble,7.94,"['Comedy', 'Romance', 'School', 'Shounen']",School Rumble,TV,Oct,Fall,26,23,PG,514,275464,5137,12277,157789,12856,13491
Sunabouzu,7.42,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",Desert Punk,TV,Oct,Fall,24,24,R,1284,111734,790,6273,53819,6255,7951
Texhnolyze,7.76,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",Texhnolyze,TV,Apr,Spring,22,23,R,823,182599,3671,11335,47532,9815,8112
Trinity Blood,7.32,"['Action', 'Supernatural', 'Vampire']",Trinity Blood,TV,Apr,Spring,24,24,R,936,158343,1479,7794,87958,8940,9349
Yakitate!! Japan,7.95,"['Comedy', 'Shounen']",Yakitate!! Japan,TV,Oct,Fall,69,24,PG,1666,80183,887,5007,39992,5764,4633
Zipang,7.51,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",Zipang,TV,Oct,Fall,26,24,PG,3985,16652,152,857,6807,721,599
Neon Genesis Evangelion,8.32,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Neon Genesis Evangelion,TV,Oct,Fall,26,24,PG,54,1160651,71308,66549,815938,35566,20358
Neon Genesis Evangelion: Death & Rebirth,7.45,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Neon Genesis Evangelion:Death & Rebirth,Movie,Mar,Spring,1,104,R,833,180681,588,1941,146202,1069,961
Neon Genesis Evangelion: The End of Evangelion,8.51,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Neon Genesis Evangelion:The End of Evangelion,Movie,Jul,Summer,1,87,R,195,572080,17811,8055,482918,2462,1499
Kenpuu Denki Berserk,8.49,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",Berserk,TV,Oct,Fall,25,25,R,301,432190,18567,19540,276588,12737,9406
Koukaku Kidoutai,8.29,"['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']",Ghost in the Shell,Movie,Nov,Fall,1,82,R,265,468279,10362,8152,325682,3404,1927
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",Samurai X:Trust and Betrayal,OVA,Feb,Winter,4,30,R,637,228484,6111,6359,150183,3124,1836
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']",Rurouni Kenshin,TV,Jan,Winter,94,25,PG,345,386195,11236,29540,216154,30655,18588
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"['Samurai', 'Historical', 'Drama', 'Shounen']",Samurai X:The Motion Picture,Movie,Dec,Winter,1,91,R,2411,44334,107,547,34481,438,228
Akira,8.17,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']",AKIRA,Movie,Jul,Summer,1,124,R,197,566538,9555,8258,434086,3491,2174
.hack//Sign,6.98,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",.hack//Sign,TV,Apr,Spring,26,24,PG,940,158227,1359,6733,91528,8315,11881
Aa! Megami-sama!,7.32,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",Oh! My Goddess,OVA,Feb,Winter,5,30,PG,2360,46428,267,993,34581,860,894
Aa! Megami-sama! (TV),7.35,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",Ah! My Goddess,TV,Jan,Winter,24,24,PG,1083,135747,1124,5841,85884,6517,7971
Tenshi Kinryouku,6.31,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",Angel Sanctuary,OVA,May,Spring,3,30,R,2419,43960,215,812,32981,749,1311
Kidou Tenshi Angelic Layer,7.26,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",Battle Doll Angelic Layer,TV,Apr,Spring,26,24,PG,2232,51022,290,1653,32978,2615,2852
Ai Yori Aoshi,7.14,"['Harem', 'Slice of Life', 'Comedy', 'Drama', 'Romance']",Ai Yori Aoshi,TV,Apr,Spring,24,23,PG,1465,94793,458,4111,60075,4160,5814
Appleseed (Movie),7.1,"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",Appleseed (Movie),Movie,Apr,Spring,1,105,R,1901,65139,173,787,52100,403,489
Arc the Lad,6.53,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",Arc the Lad,TV,Apr,Spring,26,22,R,4259,14187,17,581,7032,718,910
Avenger,5.91,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",Avenger,TV,Oct,Fall,13,24,R,4073,15779,21,617,7906,712,1255
Beck,8.31,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",Beck:Mongolian Chop Squad,TV,Oct,Fall,26,25,R,570,255668,7038,10580,133432,10190,8488
Blue Gender,7.05,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",Blue Gender,TV,Oct,Fall,26,23,R,1886,65360,389,2738,31583,2534,3195
Chobits,7.43,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",Chobits,TV,Apr,Spring,26,24,PG,332,402646,3859,15294,272425,18082,22409
Chrno Crusade,7.66,"['Action', 'Demons', 'Historical', 'Romance', 'Shounen', 'Supernatural']",Chrono Crusade,TV,Nov,Fall,24,23,R,742,198007,2064,8228,117484,9881,9842
D.N.Angel,7.2,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",D.N.Angel,TV,Apr,Spring,26,23,PG,891,167615,1523,5183,117045,7599,11057
D.C.: Da Capo,6.77,"['Harem', 'Drama', 'Magic', 'Romance']",D.C.~Da Capo~,TV,Jul,Summer,26,24,PG,1852,67491,189,3024,36037,2840,3852
DearS,6.62,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Shounen']",DearS,TV,Jul,Summer,12,23,R,1146,128788,391,3766,95113,3066,5507
Rozen Maiden,7.44,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",Rozen Maiden,TV,Oct,Fall,12,24,PG,846,176775,2074,5599,113914,6040,7852
Rozen Maiden: Träumend,7.65,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",Rozen Maiden:Träumend,TV,Oct,Fall,12,24,PG,1479,93768,516,2006,73523,2114,1647
Azumanga Daioh,7.98,"['Slice of Life', 'Comedy', 'School']",Azumanga Daioh:The Animation,TV,Apr,Spring,26,24,PG,554,262980,5181,13747,143431,16133,13115
Basilisk: Kouga Ninpou Chou,7.58,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",Basilisk,TV,Apr,Spring,24,24,R,940,156661,1467,6964,82153,6380,6957
Black Cat (TV),7.38,"['Sci-Fi', 'Adventure', 'Comedy', 'Super Power', 'Shounen']",Black Cat,TV,Oct,Fall,23,24,PG,622,231668,1955,10510,142921,11736,11003
Cluster Edge,6.35,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",Cluster Edge,TV,Oct,Fall,25,24,PG,5061,9299,13,500,3068,629,942
Full Metal Panic!,7.65,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",Full Metal Panic!,TV,Jan,Winter,24,24,R,322,411230,4417,17458,264665,16076,13806
Full Metal Panic? Fumoffu,8.07,"['Action', 'Comedy', 'School']",Full Metal Panic? Fumoffu,TV,Aug,Summer,12,24,PG,571,254465,2988,5383,204041,4435,3533
Full Metal Panic! The Second Raid,7.96,"['Action', 'Military', 'Mecha']",Full Metal Panic! The Second Raid,TV,Jul,Summer,13,24,R,639,227927,1358,4667,177524,3840,2271
Gakuen Alice,7.65,"['Comedy', 'School', 'Shoujo', 'Super Power']",Gakuen Alice,TV,Oct,Fall,26,25,G,1640,81446,1613,2495,57369,2843,2916
Soukyuu no Fafner: Dead Aggressor,7.3,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",Fafner of the Blue Sky,TV,Jul,Summer,25,24,PG,2523,40602,255,2179,16417,1849,1987
Mahou Shoujo Lyrical Nanoha,7.42,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",Magical Girl Lyrical Nanoha,TV,Oct,Fall,13,25,PG,1550,88890,1036,3287,47731,2865,2625
Mahou Shoujo Lyrical Nanoha A's,7.99,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",Magical Girl Lyrical Nanoha A's,TV,Oct,Fall,13,25,PG,2075,56981,1014,1367,40165,1088,828
Shuffle!,7.09,"['Harem', 'Comedy', 'Drama', 'Magic', 'Romance', 'Ecchi', 'Fantasy', 'School', 'Seinen']",Shuffle!,TV,Jul,Summer,24,23,R,600,240751,1572,10943,151944,9558,13227
Mobile Suit Gundam,7.78,"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",Mobile Suit Gundam,TV,Apr,Spring,43,25,PG,1427,97216,1787,7737,52669,5473,3100
Mobile Suit Gundam: The 08th MS Team,8.03,"['Adventure', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi']",Mobile Suit Gundam:The 08th MS Team,OVA,Jan,Winter,12,25,PG,1948,62655,911,2405,43537,1437,794
Mobile Suit Gundam 0080: War in the Pocket,7.9,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Mobile Suit Gundam 0080:War in the Pocket,OVA,Mar,Spring,6,27,PG,2444,43308,717,978,30112,595,392
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",Mobile Suit Gundam: The 08th MS Team - Miller's Report,Movie,Aug,Summer,1,52,PG,4660,11460,3,149,8314,130,136
Mobile Suit Gundam 0083: Stardust Memory,7.3,"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",Mobile Suit Gundam 0083:Stardust Memory,OVA,May,Spring,13,30,PG,2791,33687,230,977,24492,715,448
Mobile Suit Zeta Gundam,7.92,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",Mobile Suit Zeta Gundam,TV,Mar,Spring,50,24,PG,2159,53822,1721,3912,32798,2628,1049
Mobile Suit Gundam ZZ,6.66,"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",Mobile Suit Gundam ZZ,TV,Mar,Spring,47,24,PG,2941,30758,130,1647,18408,1354,917
Mobile Suit Gundam: Char's Counterattack,7.68,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Mobile Suit Gundam:Char's Counterattack,Movie,Mar,Spring,1,119,PG,2773,34221,293,437,25957,233,171
Mobile Suit Gundam F91,6.67,"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",Mobile Suit Gundam F91,Movie,Mar,Spring,1,120,PG,3387,23161,63,357,16731,207,193
Mobile Suit Victory Gundam,6.76,"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",Mobile Suit V Gundam,TV,Apr,Spring,51,24,PG,3588,20794,95,1225,10068,1094,628
Mobile Suit Gundam Wing,7.72,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Mobile Suit Gundam Wing,TV,Apr,Spring,49,24,PG,1118,132208,2538,5922,95155,5945,4411
Mobile Suit Gundam Wing: Endless Waltz,7.76,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",Mobile Suit Gundam Wing:Endless Waltz,OVA,Jan,Winter,3,30,PG,2512,41030,221,500,34369,280,250
After War Gundam X,7.32,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",After War Gundam X,TV,Apr,Spring,39,24,PG,3043,28862,189,1554,15987,1746,983
Mobile Suit Gundam SEED,7.79,"['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",Mobile Suit Gundam SEED,TV,Oct,Fall,50,24,R,1057,140346,3584,4898,101920,4589,5021
Mobile Suit Gundam SEED Destiny,7.22,"['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",Mobile Suit Gundam SEED Destiny,TV,Oct,Fall,50,24,R,1530,90208,1206,2210,70845,2251,2749
Turn A Gundam,7.7,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",∀ Gundam,TV,Apr,Spring,50,24,PG,2714,35670,760,2378,14651,2327,1448
Mobile Fighter G Gundam,7.56,"['Adventure', 'Comedy', 'Drama', 'Martial Arts', 'Mecha', 'Romance', 'Sci-Fi', 'Space', 'Sports']",Mobile Fighter G Gundam,TV,Apr,Spring,49,24,PG,2109,55463,896,2499,38653,2505,1607
Last Exile,7.82,"['Action', 'Sci-Fi', 'Adventure']",Last Exile,TV,Apr,Spring,26,24,PG,995,149528,1848,5943,77235,6541,5038
Mai-HiME,7.46,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",My-Hime,TV,Sep,Fall,26,23,PG,1381,101495,1262,3442,60321,3690,4215
Mai-Otome,7.31,"['Comedy', 'Drama', 'Fantasy', 'Magic']",My-Otome,TV,Oct,Fall,26,24,PG,2370,46018,333,1147,31335,1222,1598
Shin Shirayuki-hime Densetsu Prétear,7.2,"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo', 'Super Power']",Prétear:The New Legend of Snow White,TV,Apr,Spring,13,23,PG,2162,53508,457,1607,33827,1504,1760
Air,7.32,"['Slice of Life', 'Supernatural', 'Drama', 'Romance']",Air,TV,Jan,Winter,12,24,PG,563,259381,2704,7367,170036,8109,9992
Aishiteruze Baby★★,7.48,"['Comedy', 'Drama', 'Romance', 'Shoujo']",Aishiteruze Baby★★,TV,Apr,Spring,26,25,PG,1529,89533,571,3772,59770,4008,4946
Akazukin Chacha,7.39,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",Red Riding Hood Chacha,TV,Jan,Winter,74,24,G,4551,12006,88,691,5140,993,994
Ayashi no Ceres,7.23,"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']","Ceres, Celestial Legend",TV,Apr,Spring,24,21,R,2182,53189,535,2099,31162,2479,3400
Boys Be...,6.46,"['Slice of Life', 'Comedy', 'Romance', 'Shounen']",Boys Be...,TV,Apr,Spring,13,23,PG,3665,20032,41,768,10371,809,1385
Hana yori Dango,7.7,"['Drama', 'Romance', 'School', 'Shoujo']",Hana Yori Dango,TV,Sep,Fall,51,25,PG,2293,48623,762,2502,25257,2178,2974
Ou Dorobou Jing,7.23,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",Jing:King of Bandits,TV,May,Spring,13,24,PG,2817,32988,210,1343,16532,1452,1714
Ou Dorobou Jing in Seventh Heaven,7.29,"['Adventure', 'Fantasy', 'Psychological', 'Comedy', 'Shounen']",Jing:King of Bandits - Seventh Heaven,OVA,Jan,Winter,3,30,PG,4619,11591,29,283,7309,208,159
Bakuretsu Tenshi,6.81,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",Burst Angel,TV,Apr,Spring,24,23,PG,1965,62106,257,2789,34321,3539,4492
Chuuka Ichiban!,7.63,"['Action', 'Comedy', 'Drama', 'Shounen']",Chuuka Ichiban!,TV,Apr,Spring,52,23,PG,4086,15608,107,990,8203,837,817
Corrector Yui,6.83,"['Sci-Fi', 'Adventure', 'Comedy', 'Magic']",Corrector Yui,TV,Apr,Spring,52,25,PG,4519,12222,50,463,6825,661,963
Chou Henshin Cosprayers,4.95,"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Super Power', 'Sci-Fi']",The Cosmopolitan Prayers,TV,Jan,Winter,8,14,PG,5542,7392,5,269,3567,243,568
Uchuu no Stellvia,7.38,"['Action', 'Mecha', 'Romance', 'Sci-Fi', 'Space']",Stellvia,TV,Apr,Spring,26,23,PG,3577,20924,127,820,10722,957,960
Sakigake!! Cromartie Koukou,7.93,"['Comedy', 'School', 'Shounen']",Cromartie High School,TV,Oct,Fall,26,12,PG,1279,112001,1561,8242,49634,7970,5164
El Hazard: The Alternative World,6.83,"['Adventure', 'Comedy', 'Fantasy']",El Hazard: The Alternative World,TV,Jan,Winter,13,25,PG,4961,9684,10,275,6251,307,352
El Hazard: The Wanderers,6.97,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",El-Hazard:The Wanderers,TV,Oct,Fall,26,23,PG,4198,14603,35,613,8190,628,667
El Hazard: The Magnificent World,7.32,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",El Hazard: The Magnificent World,OVA,May,Spring,7,34,PG,4129,15406,91,521,9059,408,352
El Hazard 2: The Magnificent World,6.85,"['Adventure', 'Comedy', 'Fantasy']",El Hazard 2: The Magnificent World,OVA,Mar,Spring,4,30,PG,5421,7745,5,163,5472,166,120
Final Approach,6.56,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",Final Approach,TV,Oct,Fall,13,14,PG,2887,31774,48,958,21798,756,1088
Fruits Basket,7.69,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",Fruits Basket,TV,Jul,Summer,26,24,PG,314,420919,9504,15410,297921,12910,16709
Fullmetal Alchemist,8.17,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",Fullmetal Alchemist,TV,Oct,Fall,51,24,PG,52,1151621,26564,52738,880215,41631,38693
Full Moon wo Sagashite,7.96,"['Music', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",Searching for the Full Moon,TV,Apr,Spring,52,24,PG,1519,90884,1823,3807,51760,4784,5484
Fushigi Yuugi,7.64,"['Adventure', 'Fantasy', 'Magic', 'Martial Arts', 'Comedy', 'Romance', 'Historical', 'Drama', 'Shoujo']",Mysterious Play,TV,Apr,Spring,52,23,PG,1434,96861,2277,5124,53674,5497,5964
Fushigi Yuugi: Eikouden,6.86,"['Adventure', 'Fantasy', 'Romance', 'Drama', 'Shoujo']",Mysterious Play:Eikoden,OVA,Dec,Winter,4,30,PG,4101,15576,69,257,11630,225,218
Futakoi,6.49,"['Comedy', 'Romance', 'School']",Twin Love,TV,Oct,Fall,13,24,PG,2900,31358,22,1052,19836,962,1485
Futakoi Alternative,6.91,"['Comedy', 'Drama', 'Romance']",Futakoi Alternative,TV,Apr,Spring,13,24,PG,3071,28297,71,1073,13965,1144,1565
Gate Keepers,6.96,"['Action', 'Sci-Fi', 'Comedy', 'Fantasy', 'Mecha', 'Shounen']",Gate Keepers,TV,Apr,Spring,24,25,PG,3717,19351,59,726,11013,941,1182
Gate Keepers 21,6.79,"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']",Gate Keepers 21,OVA,Apr,Spring,6,30,PG,5026,9399,23,216,5904,271,273
Gensoumaden Saiyuuki,7.59,"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Shounen', 'Supernatural']",Saiyuki,TV,Apr,Spring,50,23,R,2359,46228,833,2628,22100,3188,3069
Saiyuuki Reload,7.41,"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Josei', 'Supernatural']",Saiyuki Reload,TV,Oct,Fall,25,23,PG,3071,28277,116,1224,15616,1186,1189
Saiyuuki Reload Gunlock,7.42,"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Josei', 'Supernatural']",Saiyuki Gunlock,TV,Apr,Spring,26,24,PG,3724,19393,51,728,10446,702,519
GetBackers,7.61,"['Action', 'Comedy', 'Drama', 'Mystery', 'Shounen', 'Super Power', 'Supernatural']",Getbackers,TV,Oct,Fall,49,24,PG,1339,105139,911,5642,55921,8039,7436
Green Green,6.21,"['Comedy', 'Ecchi', 'Romance', 'School', 'Slice of Life']",Green Green,TV,Jul,Summer,12,24,R,1333,106208,263,2671,79017,2144,5446
Gunslinger Girl,7.42,"['Action', 'Psychological', 'Military', 'Drama', 'Sci-Fi']",Gunslinger Girl,TV,Oct,Fall,13,24,R,920,161010,1140,6742,82948,7728,8160
Hikaru no Go,8.11,"['Comedy', 'Game', 'Shounen', 'Supernatural']",Hikaru no Go,TV,Oct,Fall,75,23,PG,1287,111164,2186,5480,62705,6454,6700
Hunter x Hunter,8.42,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",Hunter x Hunter,TV,Oct,Fall,62,23,PG,319,416227,9525,28061,260968,15535,15100
Hunter x Hunter: Original Video Animation,8.33,"['Action', 'Adventure', 'Super Power', 'Shounen']",Hunter x Hunter: Original Video Animation,OVA,Jan,Winter,8,24,PG,1375,101579,408,2115,80683,832,776
Hunter x Hunter: Greed Island,8.21,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",Hunter x Hunter: Greed Island,OVA,Feb,Winter,8,22,PG,1244,116633,318,2256,98042,833,802
Hunter x Hunter: Greed Island Final,8.29,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",Hunter x Hunter: Greed Island Final,OVA,Mar,Spring,14,24,PG,1288,111292,268,2091,92109,827,750
Jinki:Extend,6.14,"['Mecha', 'Sci-Fi']",Jinki:Extend,TV,Jan,Winter,12,23,R,4923,9900,10,420,4784,474,699
Kamikaze Kaitou Jeanne,7.45,"['Adventure', 'Comedy', 'Demons', 'Drama', 'Fantasy', 'Magic', 'Mystery', 'Romance', 'Shoujo']",Kamikaze Kaitou Jeanne,TV,Feb,Winter,44,24,PG,2363,46140,499,1518,32304,1751,1977
Kannazuki no Miko,6.87,"['Supernatural', 'Drama', 'Magic', 'Romance', 'Mecha', 'Shounen', 'Shoujo Ai']",Destiny of the Shrine Maiden,TV,Oct,Fall,12,24,PG,2000,60077,767,2269,33411,2025,2994
Kanon,7.11,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",Kanon,TV,Jan,Winter,13,24,G,2105,55784,248,1418,32662,1469,2522
Kareshi Kanojo no Jijou,7.61,"['Comedy', 'Drama', 'Romance', 'School', 'Shoujo', 'Slice of Life']",His and Her Circumstances,TV,Oct,Fall,26,24,PG,875,170539,2188,11136,75368,10132,7994
Kono Minikuku mo Utsukushii Sekai,6.76,"['Sci-Fi', 'Comedy', 'Drama', 'Magic', 'Romance', 'Ecchi']",This Ugly Yet Beautiful World,TV,Apr,Spring,12,24,R,2145,54222,178,1995,33816,1909,2381
Kimi ga Nozomu Eien,7.24,"['Drama', 'Romance', 'Slice of Life']",Rumbling Hearts,TV,Oct,Fall,14,23,R,1187,123752,1072,3792,75846,3242,4458
Kita e.: Diamond Dust Drops,6.62,"['Drama', 'Romance', 'Slice of Life']",Diamond Daydreams,TV,Jan,Winter,12,24,PG,5411,7823,9,345,2781,354,418
Loveless,6.86,"['Action', 'Mystery', 'Supernatural', 'Drama', 'Romance', 'Fantasy', 'Josei', 'Shounen Ai']",Loveless,TV,Apr,Spring,12,24,PG,1215,121063,1632,4134,81173,4010,8783
Blood+,7.66,"['Action', 'Military', 'Mystery', 'Horror', 'Supernatural', 'Drama', 'Vampire']",Blood+,TV,Oct,Fall,50,24,R,431,317767,4623,17892,163002,20855,20329
Re: Cutey Honey,7.12,"['Action', 'Sci-Fi', 'Comedy', 'Ecchi', 'Shoujo Ai']",Re: Cutey Honey,OVA,Jul,Summer,3,46,R,3430,22697,133,914,10939,588,534
Solty Rei,7.28,"['Action', 'Sci-Fi', 'Super Power']",Solty Rei,TV,Oct,Fall,24,23,R,3233,25666,124,1098,13419,1462,1473
Juuni Kokuki,8.06,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Supernatural']",The Twelve Kingdoms,TV,Apr,Spring,45,25,PG,1266,113627,2261,6948,41705,5871,4897
Shaman King,7.78,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",Shaman King,TV,Jul,Summer,64,23,PG,477,294021,3672,11999,208822,11722,13069
X/1999,6.59,"['Action', 'Drama', 'Fantasy', 'Horror', 'Magic', 'Sci-Fi', 'Supernatural']",X - The Movie,Movie,Aug,Summer,1,97,R,2904,31227,128,454,22871,314,351
X,7.43,"['Action', 'Super Power', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shoujo']",X,TV,Oct,Fall,24,24,R,1818,69684,796,2710,39454,3274,3006
Mahou Sensei Negima!,6.98,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Shounen', 'Super Power', 'Supernatural']",Negima!,TV,Jan,Winter,26,23,PG,1208,121120,601,5607,74264,5159,7468
