Name,Score,Genres,English name,Type,Month Aired,Season,Episodes,Duracion,Rating,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Seitokai no Ichizon Lv.2,7.38,"['Harem', 'Comedy', 'Parody', 'School']",Student Council's Discretion Level 2,ONA,Oct,Fall,10,24,PG,1954,62358,91,2491,41456,1649,1353
Manyuu Hikenchou,6.22,"['Action', 'Comedy', 'Historical', 'Ecchi', 'Samurai', 'Seinen']",Manyuu Hikenchou,TV,Jul,Summer,12,24,R,2025,59558,203,4542,24421,2334,3977
Phantom Yuusha Densetsu,5.33,"['Action', 'Military', 'Drama', 'Seinen']",Phantom Yuusha Densetsu,OVA,Jan,Winter,1,50,R,11741,588,0,27,234,14,41
Sayonara Zetsubou Sensei Special,7.51,"['Comedy', 'Mystery', 'Parody', 'Shounen']",Sayonara Zetsubou Sensei Special,Special,Jan,Winter,1,24,R,4105,15578,5,267,9837,206,109
God Eater Prologue,6.69,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",God Eater Prologue,Special,Sep,Fall,1,12,R,2907,31315,33,596,22438,256,241
Ie Naki Ko Remy Specials,7.54,"['Adventure', 'Drama']",Ie Naki Ko Remy Specials,Special,Other,Other,3,23,PG,8952,1916,6,56,1291,34,53
Haiyoru! Nyaruani: Remember My Love(craft-sensei) Special,6.19,"['Comedy', 'Sci-Fi']",Haiyoru! Nyaruani:Remember My Mr. Lovecraft,Special,Mar,Spring,1,5,PG,4585,11797,3,198,7950,158,146
Beelzebub Specials,7.37,"['Action', 'Comedy', 'Supernatural', 'Demons', 'School', 'Shounen']",Beelzebub Specials,Special,Jun,Summer,16,2,PG,3732,19087,30,673,10036,464,326
Otohime Connection,6.22,"['Slice of Life', 'Mystery', 'Drama', 'Romance', 'Shoujo']",Princess Connection,OVA,Dec,Winter,1,45,PG,11611,619,1,29,202,13,42
"Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",7.27,"['Action', 'Historical', 'Samurai']","Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",Special,Apr,Spring,1,26,PG,5774,6672,4,124,4043,92,78
Blood-C,6.56,"['Action', 'Mystery', 'Horror', 'Supernatural', 'Vampire', 'School']",BLOOD-C,TV,Jul,Summer,12,23,R,573,255157,855,12271,144196,7504,14176
Higurashi no Naku Koro ni Kira,6.54,"['Mystery', 'Parody']",Higurashi no Naku Koro ni Kira,OVA,Jul,Summer,4,29,R,1793,72010,160,2305,48585,1588,2286
Yuru Yuri,7.6,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']",YuruYuri:Happy Go Lily,TV,Jul,Summer,12,23,PG,511,279284,4416,14322,157341,9918,10806
Hetalia World Series Specials,7.53,"['Comedy', 'Historical', 'Parody']",Hetalia World Series Extra Episodes,Special,Mar,Spring,4,5,PG,3542,21348,63,536,15264,397,257
Ojiisan no Lamp,7.57,"['Drama', 'Historical']",Ojiisan no Lamp,Movie,Mar,Spring,1,24,G,3879,17529,12,267,10995,154,89
Bannou Yasai Ninninman,6.01,"['Comedy', 'Supernatural']",Bannou Yasai Ninninman,Movie,Mar,Spring,1,24,PG,6624,4730,0,68,3707,35,68
Tansu Warashi.,6.78,"['Slice of Life', 'Comedy', 'Supernatural']",Drawer Hobbs,Movie,Mar,Spring,1,23,G,6417,5104,1,64,4011,43,49
Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru,7.07,"['Mystery', 'Historical', 'Shounen']",Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru,Special,Mar,Spring,1,13,R,4324,13677,22,285,7835,274,228
Shiawase Haitatsu Taneko,6.51,['Comedy'],Shiawase Haitatsu Taneko,TV,Mar,Spring,Other,0,PG,12128,503,1,89,0,17,181
Inazuma Eleven Go,6.98,"['Shounen', 'Sports', 'Super Power']",Inazuma Eleven Go,TV,May,Spring,47,24,G,2143,54307,307,1993,43784,1194,2095
Hoero! Bun Bun (Movie),6.51,['Kids'],Hoero! Bun Bun (Movie),Movie,Apr,Spring,1,65,G,14012,259,0,10,99,6,43
Toyama Kankou Anime Project,5.48,"['Slice of Life', 'Historical']",Toyama Tourism Anime Project,Special,Jun,Summer,6,5,G,10536,973,1,46,366,19,49
Usavich IV,6.65,['Comedy'],Usavich IV,TV,Apr,Spring,13,1,PG,8321,2456,1,42,1964,21,92
Anemone,6.48,"['Magic', 'Supernatural', 'Drama']",Anemone,OVA,Mar,Spring,1,5,PG,7223,3810,6,72,2531,31,45
Mahou Shoujo Sonico★Magica,5.82,"['Music', 'Parody']",Puella Magi Sonico Magica,ONA,Apr,Spring,1,1,PG,3762,18597,16,241,13631,143,173
Working'!!,7.87,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",Wagnaria!!2,TV,Oct,Fall,13,24,PG,672,219037,449,6174,169462,3719,2519
Duel Masters Victory,5.82,"['Action', 'Adventure', 'Comedy', 'Shounen']",Duel Masters Victory,TV,Apr,Spring,52,10,PG,10214,1109,1,48,452,32,113
Shinseiki Duel Masters Flash,5.8,"['Comedy', 'Kids']",Shinseiki Duel Masters Flash,TV,Apr,Spring,24,21,G,11707,597,0,22,216,13,91
Duel Masters Zero,5.99,"['Action', 'Game', 'Kids']",Duel Masters Zero,TV,Oct,Fall,24,10,G,9549,1509,1,51,796,36,105
Duel Masters Cross,6.35,"['Action', 'Adventure', 'Comedy', 'Shounen']",Duel Masters Cross,TV,Apr,Spring,100,10,PG,8952,1906,2,55,1073,34,130
Duel Masters Cross Shock,6.2,"['Action', 'Adventure', 'Comedy', 'Shounen']",Duel Masters Cross Shock,TV,Apr,Spring,50,10,PG,9218,1713,1,59,929,31,133
Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,7.35,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,OVA,Apr,Spring,1,25,PG,5303,8245,13,133,6075,109,115
Working'!! Announcement Specials,6.79,['Comedy'],Wagnaria'!! Announcement Specials,ONA,Apr,Spring,2,2,G,4413,12936,10,281,8288,184,159
Fujilog,6.51,['Comedy'],Fujilog,TV,Apr,Spring,13,4,PG,12358,460,0,35,120,19,76
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,7.91,"['Adventure', 'Comedy', 'Kids', 'Fantasy', 'Mecha', 'Shounen']",Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Movie,Mar,Spring,1,108,PG,5946,6160,46,96,5237,52,132
Kimi ni Todoke 2nd Season: Minitodo Gekijou,7.32,"['Comedy', 'Romance', 'Shoujo']",Kimi ni Todoke 2nd Season: Minitodo Gekijou,Special,Apr,Spring,3,5,PG,2619,38035,53,998,25072,759,326
Hato no Oyome-san,6.51,['Comedy'],Hato no Oyome-san,TV,Apr,Spring,4,1,PG,13183,331,0,18,96,15,55
Genki!! Ekoda-chan,6.51,['Comedy'],Genki!! Ekoda-chan,TV,Apr,Spring,22,5,PG,11034,783,0,37,145,34,78
Shuukan Shimakou,6.51,['Comedy'],Weekly Shimako,TV,Apr,Spring,11,3,PG,12161,496,0,28,87,17,58
The Epic Of ZektBach,5.86,"['Action', 'Supernatural', 'Fantasy']",The Epic Of ZektBach,OVA,Mar,Spring,1,30,R,7391,3559,4,77,2446,49,71
Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,6.43,"['Drama', 'Ecchi', 'Fantasy', 'Harem', 'Romance']",Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,OVA,Jun,Summer,1,24,R,4621,11648,4,332,7560,187,145
Precure All Stars GoGo Dream Live!,6.83,"['Action', 'Fantasy', 'Magic', 'Shoujo']",Precure All Stars GoGo Dream Live!,Special,Nov,Fall,1,5,G,7765,3078,4,66,1906,39,72
Yakyuukyou no Uta,6.49,"['Action', 'Drama', 'Sports']",Yakyuukyou no Uta,TV,Dec,Winter,25,46,PG,10835,845,1,47,180,37,105
Machine Hayabusa,6.18,"['Action', 'Cars', 'Sports', 'Shounen']",Machine Hayabusa,TV,Apr,Spring,21,23,PG,11478,650,0,41,236,28,97
Yakyuukyou no Uta: Kita no Ookami Minami no Tora,6.51,"['Action', 'Sports', 'Drama']",Yakyuukyou no Uta: Kita no Ookami Minami no Tora,Movie,Sep,Fall,1,88,PG,13376,312,1,14,90,9,66
Korogashi Ryouta,6.51,"['Action', 'Comedy', 'Seinen']",Korogashi Ryouta,OVA,Nov,Fall,3,41,R,14188,247,1,18,71,7,34
Kamisama no Memochou,7.54,['Mystery'],Heaven's Memo Pad,TV,Jul,Summer,12,26,R,715,205012,787,10560,103892,8046,8987
Ro-Kyu-Bu!,6.84,"['Comedy', 'Ecchi', 'School', 'Sports']",Ro-Kyu-Bu ~ Fast Break!,TV,Jul,Summer,12,24,PG,1805,71266,206,3320,40385,1998,4081
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura,7.54,"['Sports', 'Shounen']",Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura,OVA,Aug,Summer,4,22,PG,5114,9028,11,195,6398,139,125
C³,6.66,"['Action', 'Comedy', 'Ecchi', 'School', 'Supernatural']",C³ - CubexCursedxCurious,TV,Oct,Fall,12,24,R,952,154898,257,7700,94193,6248,10709
